der, die, das|the, that, those, who, this one
ein, eine, ein-|a, an, one, one of
kein, keine, kein-|not a, no
sein, seine, sein-|his, its
dieser, diese, dieses, dies-|this, that, these
jeder, jede, jedes, jed-|each, every
er|he, it
es|it
sie|she, they, it, them
ich|I
wir|we
ihr|y'all, her, their
man|one, a person, people
du|you (informal, singular)
Sie|you (formal)
und|and
sich|-self
nicht|not
auch|also, too
wenn|when, whenever, if
als|as, when, than
oder|or
aber|but, however, of course
bis|until
dass|that
eins, zwei, drei,
vier, fünf, sechs,
sieben, acht, neun,
zehn|1-10
an, am (an dem), ans (an das)|at, on, at/on the, to
auf|on, at, on top of, in
aus|out of, out
bei / beim (bei dem)|by, with, at
durch|through, divided by, by means of
für|for
gegen|against, towards, around (time)
in, im (in dem), ins (in das)|in, in the, into
mit|with, by means of
nach|to, after
über|over, about, via
um|around, at (time)
um.....zu + Infinitiv|in order to + (infinitive)
unter|under, beneath, among
von /
vom (von dem)|from, by
vor|in front of, before, ago
zu /
zum (zu dem),
zur (zu der)|to, too / to the
zwischen|between
sein, (ich bin, du bist, er ist, wir sind, ihr seid, sie sind, Sie sind) war, gewesen|to be
sein + Partizip|present perfect of sein verbs
werden (wird), wurde, ist geworden|to become, get
werden + infinitive|future tense
werden + Partizip|passive tense
haben (hat), hatte, gehabt|to have
haben + Partizip|present perfect of most verbs
wollen (will), wollte, gewollt|to want to
können (kann), konnte, gekonnt|to be able to, can
müssen (muss), musste, gemusst|to have to
sollen, sollte, gesollt|should, ought to
lassen, lässt, liess, hat gelassen|to let, allow, have done
geben, gibt, gab, hat gegeben|to give
sagen, sagte, hat gesagt|to say
kommen, kam, ist gekommen|to come
gehen, ging, ist gegangen|to go
machen, machte, hat gemacht|to do, to make
stehen, stand, hat gestanden|to stand, to be located
sehen, sieht, sah, hat gesehen|to see
finden, fand, hat gefunden|to find
das Jahr, die Jahre|year
die Uhr, die Uhren|clock, o'clock
die Minute, -n|minute
das Prozent, die Prozente|percent
die Zeit, die Zeiten|time
alle|all, everyone, every (pl)
andere (-r, -s)|other
da|there, since
dann|then
deutsch|German
doch|however, still, on the contrary, as a flavor word, it can add emphasis
gross|large, big, tall
gut|good, well
immer|always
mehr|more
neu|new
noch|still, yet
nur|only, just
schon|already
so|so, thus, this way, such
viel|much
was|what, which
weit|far, widely
wie|how, as
wieder|again
die Arbeit, -en|work, job
das Bild, die Bilder|pictire
das Ende, -n|end
der Euro, -/-s|Euro
die Frage, -n|question
die Frau, -en|woman
das Haus, die Häuser|house
das Kind, die Kinder|child
das Land, die Länder|country, land
das Leben, -|life, living
der Mann, die Männer|man
die Mark|Mark (former currency)
der Mensch, -en|person, human
die Million, -en (Mio.)|million
der Platz, die Plätze|place, seat, spot, square
der Samstag, -e|Saturday
die Seite, -n|side, page
das Speil, -e|game
die Stadt, die Städte|city
der Tag, -e|day
der / das Teil, -e|part, section
die Woche, -n|week
seit|since
ab|from (time)
ohne|without
wer|who, whoever
wo|where
ihm|him
uns|us
unser(-)|our
mein(-)|my
denn|because (coordinating), since, as flavor word, can add emphasis
weil|because (subordinating)
sondern|rather
bleiben, blieb, ist geblieben|to stay, remain
liegen, lag, gelegen|to be in a horizontal position, lying, to lie, to be located
stellen, stellte, hat gestellt|to put, place, set
nehmen, nimmt, nahm, hat genommen|to take
zeigen, zeigte, hat gezeigt|to show
dürfen, darf, durfte, hat gedurft|to be allowed, permitted
halten, hält, hielt, hat gehalten|to keep, hold, stop
spielen, spielte, hat gespielt|to play
bringen, brachte, hat gebracht|to bring
führen, führte, hat geführt|to lead
gehören, gehörte, hat gehört|to belong
beginnen, begann, begonnen|to begin
erhalten, erhält, erhielt, hat erhalten|to obtain, receive
heissen, hiess, hat geheissen|to be called
selbst|even, self, myself, yourself, etc.
nichts|nothing
gestern|yesterday
heute|today
hier|here
bereits|already, even, as early as
jetzt|now
sehr|very
allerdings|certainly, however
alt|old
beide|both
dabei|thereby, with it, close by, there
dafür|for it
damit|with it, so, so that
dazu|to it, as well, in addition to that
dort|there, over there
eigen|own
einige-|several, some
einmal|once; one time
erst|first, just, only, not until
etwa|roughly, approximately
ganz|quite, entire, whole / wholly
hoch, hoh-|high
ja|yes, indeed, as we know
jedoch|though, however
jung|young
klein|small, little
kurz|short
lang, lange|long
letzte-|last, final
nun|now, well
sowie|and, as well as, as soon as
stark|strong
wenig|little, few
wichtig|important
zwar|indeed, to be sure, that is to say
zweite-, zu zweit|second, as a pair
der Artikel, -|article
das Beispiel, -e|example
der Fall, die Fälle|case, fall
falls|in case, if, in the event of
die Familie, -n|family
der Film, -e|film, movie
das Foto, -s|photo
der Gast, die Gäste|guest
das Geld|money
die Gemeinde, -n|community, municipality, parish
die Geschichte, -n|history; story
der Grund, die Gründe|reason, cause
im Grunde genommen|basically, for the most part
die Gruppe, -n|group
die Kirche, -n|church
das Mal, -e / mal|time / time(s)
die Mannschaft, -en|team
der / das Meter -|meter
das Mitglied, -er|member
der Monat, -e|month
der Name, -n|name
der Ort, -e|place, location (geographical)
die Polizei|police
der Präsident, -en|president
das Problem, -e|problem
der Punkt, -e|point
die Schule, -n|school
die Straße, -n|street
die Stunde, -n|hour, lesson
das Team, -s|team
das Thema, die Themen|subject, theme, issue
das Unternehmen, -|company, firm, enterprise
der Verein, -e|club
der Weg, -e / weg|way, path / gone, away
die Welt, -en|world
das Ziel, -e|goal, aim, target
arbeiten, arbeitete, hat gearbeitet|to work
bekommen, bekam, bekommen|to get, receive
berichten, berichtete, berichtet|to report, tell
bestehen, bestand, hat bestanden|to exist, insist, pass an exam
bieten, bot, hat geboten|to offer, bid
erklären, erklärte, hat erklärt|to explain, make clear
erreichen, erreichte, hat erreicht|to achieve, attain, reach
folgen, folgte, ist gefolgt|to follow
fordern, forderte, hat gefordert|to demand, require, ask
gelten, gilt, galt, hat gegolten|to be valid
gewinnen, gewann, hat gewonnen|to win, gain
leben, lebte, hat gelebt|to live
meinen, meinte, hat gemeint|to think, opine
mögen, mag, mochte, hat gemocht|to like, may
nennen, nannte, hat genannt|to name
schaffen, schaffte, hat geschafft|to manage, pull off
schaffen, schuf, hat geschaffen|to create
schreiben, schrieb, hat geschrieben|to write
setzen, setze, gesetzt|to set, put, place in a seated position
sich setzen, setzte sich, hat sich gesetzt|to seat oneself, to sit down
sprechen, sprach, hat gesprochen|to speak
steigen, stieg, ist gestiegen|to climb, rise, increase
treffen, trifft, traf, hat getroffen|to meet, to hit
tun, tat, hat getan|to do
wissen, weiss, wusste, hat gewusst|to know (a fact)
ziehen, zog, hat gezogen|to pull, move, drag
bekannt|familiar, known, famous
deutlich|distinct, explicit, clear
einfach|simple, easy, plain, one-way
frei|free, available
früh|early
gemeinsam|together, common, mutual
gleich|equal, alike, same
international|international
jährig|years of age
klar|clear, lucid, bright
möglich|possible
nah|near, close
politisch|political(ly)
richtig|right(ly), correct(ly)
rund|round, around
schnell|fast
schön|beautiful
schwer|heavy, difficult
spät|late, later
vergangen|past, bygone
der Januar (Jänner), Februar, März, April, Mai, Juni, Juli, August, September, Oktober, November, Dezember|January (Austria: January), February, March, April, May, June, July, August, September, October, November, December
mir|me
ihn|him
welch(e,er,es)|which
neben|beside, next to
während|during, while
also|therefore, thus, well
besonders / besonder-|especially / special
bisher|so far, up to now
