das Amt, die Ämter|office, bureau, department
das Angebot, -e|offer
die Aufgabe, -n|task
die Ausstellung, -en|exhibit
die Bank, die Banken|bank (fin.)
die Bank, die Bänke|bench
der Beginn|beginning
der Beitrag, die Beiträge|contribution
der Blick, -e|look, view, glance
die Diskussion, -en|discussion
der Einsatz, die Einsätze|deployment, application, effort, commitment
die Entscheidung, -en|decision
die Entwicklung, -en|development
die Firma, die Firmen|company, firm
die Folge, -n|result, consequence, TV episode
die Form, -en|shape, form
der Fußball, die Fußbälle|soccer, soccer ball
der (American) Football|American football
die Gesellschaft, -en|society, company, organization, party (social event)
die Hilfe, -n|help
die Höhe, -n|altitude, height, extent
der Markt, die Märkte|market
die Maßnahme, -n|measure, sanction, scheme, step
die Mitte, -n|middle, center
die Möglichkeit, -en|possibility, opportunity, option
die Nacht, die Nächte|night
die Politik|politic(s), policy
die Rolle, -n|role (theater, soc.), roll (gymnastics), character
der Raum, die Räume|space, room, region, scope
die Sache, -n|matter, thing, concern
die Stelle, -n|place, position, post, job
das Stück, -e|piece, play (theat.), slice, chunk
das Telefon, -e|telephone
die Veranstaltung, -en|event, meeting, session
die Wahl, -en|election, choice
der Weblink, -s|weblink
die Zeitung, -en|newspaper
bauen, baute, gebaut|to build
(sich) befinden, befand, befunden|to be (located)
erzählen, erzählte, erzählt|to tell
fragen, fragte, gefragt|to ask
(sich) freuen, freute, gefreut|to be happy
glauben, glaubte, geglaubt|to believe
handeln, handelte. gehandelt|to deal, trade
helfen (hilft), half, geholfen|to help
hören, hörte, gehört|to hear
kennen, kannte, gekannt|to know (person, place), to be aware of, acquainted w/
nutzen, nutzte, genutzt|to use
rechnen, rechnete, gerechnet|to reckon, calculate, count, do arithmetic
schlagen (schlägt), schlug, geschlagen|to hit, beat, slug
schließen, schloss, geschlossen|to close, shut, conclude
sitzen, saß, gesessen|sit, to be sitting, to be based
teilen, teilte, geteilt|to divide, share
unterstützen, unterstützte, unterstützt|to support, promote
verstehen, verstand, verstanden|to understand
wählen, wählte, gewählt|to elect, choose, select, dial (phone)
zählen, zählte, gezählt|to count, total, tally
aktuell|current, topical
amerikanisch|American
dagegen|against it / them, however, on the contrary, in contrast
daher|therefore, hence, as a result
danach|afterwards, thereafter, after it
daran|thereon, at it, on it, to it
direkt|straight, direct(ly)
ebenso|likewise, alike, equally, as well
eher|sooner, rather
eigentlich|actually, in fact, rather
erfolgreich|successful
erstmals|initially, for the first time
fest|firm, solid, sturdy
folgend|following, subsequent
französisch|French
inzwischen|meanwhile, since then, by then
jeweils|respectively, each, in each case
künftig|coming, prospective, future
schlecht|bad, poor, evil, foul
warum|why
weiß|white
wenig|few, little, sparse
wirklich|actually, really, truly
zahlreich|numerous
zusätzlich|additional, further
zuvor|previously, beforehand
manch(e,er,es)|some, many
laut|according to, loud
hinter|behind
statt / anstatt|instead of
gegenüber|opposite, across from
trotz|in spite of
obwohl|although
der Autor, -en|author
der Besucher, -|visitor
der Bürger, -|citizen
der Bürgermeister, -|mayor
der / die Deutsche, -n|German
die Eltern (pl)|parents
der Freund, -e|male friend
die Freundin, -nen|female friend
der / die Grüne, -n|environmentalist, Green Party member
der / die Jugendliche, n|young person, youth
die Mutter, die Mütter|mother
der Sohn, die Söhne|son
der Spieler, -|player
der Vater, die Väter|father
Geld auf der Bank|money in the bank
durch persönlichen Einsatz|through personal commitment
zum Einsatz kommen|to be called into action
die heutige Gesellschaft|today's society
Gesellschaft der Musikfreunde|Society of Friends of Music
Besser allein als in schlechter Gesellschaft.|It's better to be alone than in bad company.
eine empfindliche Stelle|a sore, soft, sensitive spot /point
eine freie Stelle|a job vacancy
an deiner Stelle|in your position
an erster Stelle|in the first place
am Telefon|on the phone
13 Stück|baker's dozen
ein Stück Kuchen|a piece of pie / cake
Ihrer Wahl|of your choice
faire Wahl|fair election
Der Park befindet sich neben dem Hotel.|The park is located next to the hotel.
Kennst du Ken?|Do you know Ken?
Ich kann dich nicht hören.|I can't hear you.
Lesen, Schreiben und Rechnen|The 3 Rs: Reading, Writing, Arithmetic
bis 10 zählen|count to 10
